date,modal_price,arrivals_mt,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_lag_60,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_arrival_change,day_of_week,month,quarter
2026-01-06,2580.7683307086613,60.94855118110237,2595.7639109697934,2604.841379310345,2546.568227194492,2528.766497461929,2461.793103448276,2516.307852233677,2580.425839881567,2553.7703366931178,16.18750498653598,-0.31494820512334465,1,1,1
2026-01-07,2575.2334210526315,65.87833881578948,2580.7683307086613,2562.4928571428572,2560.007399328859,2521.4328621908126,2503.73488372093,2506.172881355932,2582.600985842106,2557.6132337546765,13.839205090237058,-0.21840961620653554,2,1,1
2026-01-08,2573.2307202680067,59.171474036850924,2575.2334210526315,2595.7639109697934,2580.142177589852,2520.9808306709265,2503.57881773399,2460.9945652173915,2581.6136347961283,2561.3453687258966,14.283286791851552,0.1619252655683392,3,1,1
2026-01-09,2579.588429752066,60.54760330578513,2573.2307202680067,2580.7683307086613,2578.964824120603,2528.4481054365733,2509.90114379085,2516.509243697479,2581.702721314909,2564.998249034146,14.265946586718362,-0.2346701491566845,4,1,1
2026-01-10,2555.615601173021,33.64158357771261,2579.588429752066,2575.2334210526315,2604.841379310345,2511.9753963414637,2506.131217838765,2522.9001623376626,2574.670467295291,2568.115406522114,13.038887729806296,-0.2895342211768889,5,1,1
2026-01-11,2538.51572327044,57.60924528301887,2555.615601173021,2573.2307202680067,2562.4928571428572,2512.3333333333335,2513.331896551724,2517.659108910891,2571.245162456374,2569.9855772319074,18.694107329959,0.04095580385864195,6,1,1
2026-01-12,2580.3955479452056,65.8369691780822,2538.51572327044,2579.588429752066,2595.7639109697934,2548.0650793650793,2517.0108695652175,2517.294673539519,2569.0496820242906,2572.2948964162024,16.050116712038676,-0.1588293490405851,0,1,1
2026-01-13,2579.6652397260273,70.14619863013698,2580.3955479452056,2555.615601173021,2580.7683307086613,2546.568227194492,2479.433526011561,2520.047775947282,2568.8920975981996,2574.6589687398837,15.920777761529886,0.1509083853643174,1,1,1
2026-01-14,2574.4511784511783,66.62249158249159,2579.6652397260273,2538.51572327044,2575.2334210526315,2560.007399328859,2509.1011235955057,2525.9730458221024,2568.7803486551347,2575.6906672486207,15.871518354085511,0.011295864165350888,2,1,1
2026-01-15,2579.044976635514,50.24630841121495,2574.4511784511783,2580.3955479452056,2573.2307202680067,2580.142177589852,2512.9452495974233,2479.191256830601,2569.610956707636,2575.6122957518824,16.289863827491168,-0.1508356141352427,3,1,1
